Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B44,ZAN_F3,Tremellomycetes,1,4,31.78,7.49,0.21
B44,ZAN_F3,Tremellomycetes,1,4,40.63,7.55,0.09
B44,ZAN_F3,Tremellomycetes,1,4,47.75,7.36,0.05
B44,ZAN_F3,Tremellomycetes,1,4,54.73,7.74,0.56
B44,ZAN_F3,Tremellomycetes,2,4,0,6.62,-0.54
B44,ZAN_F3,Tremellomycetes,2,4,11.38,7.43,0.09
B44,ZAN_F3,Tremellomycetes,2,4,17.4,7.67,0.24
B44,ZAN_F3,Tremellomycetes,2,4,24.86,7.68,0.17
B44,ZAN_F3,Tremellomycetes,2,4,31.78,7.96,0.45
B44,ZAN_F3,Tremellomycetes,2,4,40.63,7.96,0.17
B44,ZAN_F3,Tremellomycetes,2,4,47.75,8.47,0.43
B44,ZAN_F3,Tremellomycetes,2,4,54.73,8.47,0.42
B44,ZAN_F3,Tremellomycetes,3,4,0,7.59,0.43
B44,ZAN_F3,Tremellomycetes,3,4,11.38,7.66,0.5
B44,ZAN_F3,Tremellomycetes,3,4,17.4,7.47,0.08
B44,ZAN_F3,Tremellomycetes,3,4,24.86,7.68,0.29
B44,ZAN_F3,Tremellomycetes,3,4,31.78,8.48,0.6
B44,ZAN_F3,Tremellomycetes,3,4,40.63,7.91,0.29
B44,ZAN_F3,Tremellomycetes,3,4,47.75,7.67,0.05
B44,ZAN_F3,Tremellomycetes,3,4,54.73,7.79,0.14
B44,EMM_F48,Tremellomycetes,1,4,0,6.37,-0.76
B44,EMM_F48,Tremellomycetes,1,4,11.38,7.6,0.37
B44,EMM_F48,Tremellomycetes,1,4,17.4,8.29,0.55
B44,EMM_F48,Tremellomycetes,1,4,24.86,8.83,0.71
B44,EMM_F48,Tremellomycetes,1,4,31.78,9.17,0.65
B44,EMM_F48,Tremellomycetes,1,4,40.63,9.68,0.42
B44,EMM_F48,Tremellomycetes,1,4,47.75,9.38,0.57
